Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Level1_2,Level3,Level4
MANHATTAN,6,2010,Female,4320,679,"1,899.0",1297,1124
MANHATTAN,6,2010,Male,4357,675,"2,119.0",1197,1041
MANHATTAN,6,2011,Female,4055,683,"1,552.0",1276,1227
MANHATTAN,6,2011,Male,4383,679,"1,908.0",1283,1192
MANHATTAN,6,2012,Female,4185,685,"1,459.0",1295,1431
MANHATTAN,6,2012,Male,4510,681,"1,814.0",1325,1371
MANHATTAN,7,2006,Female,5103,644,"2,805.0",1829,469
MANHATTAN,7,2006,Male,5257,640,"3,028.0",1819,410
MANHATTAN,7,2007,Female,4936,658,"2,074.0",2080,782
MANHATTAN,7,2007,Male,5114,653,"2,397.0",2016,701
MANHATTAN,7,2008,Female,4594,669,"1,229.0",2374,991
MANHATTAN,7,2008,Male,4719,664,"1,519.0",2297,903
MANHATTAN,7,2009,Female,4410,677,723.0,2577,1110
MANHATTAN,7,2009,Male,4663,675,925.0,2598,1140
MANHATTAN,7,2010,Female,4365,675,"1,875.0",1277,1213
MANHATTAN,7,2010,Male,4535,672,"2,161.0",1295,1079
MANHATTAN,7,2011,Female,4328,678,"1,729.0",1285,1314
MANHATTAN,7,2011,Male,4326,677,"1,847.0",1209,1270
MANHATTAN,7,2012,Female,4116,680,"1,592.0",1125,1399
MANHATTAN,7,2012,Male,4414,677,"1,831.0",1225,1358
MANHATTAN,8,2006,Female,5312,644,"3,035.0",1798,479
MANHATTAN,8,2006,Male,5182,640,"3,141.0",1660,381
MANHATTAN,8,2007,Female,5026,649,"2,670.0",1883,473
MANHATTAN,8,2007,Male,5178,644,"2,947.0",1840,391
MANHATTAN,8,2008,Female,4871,660,"1,931.0",2295,645
MANHATTAN,8,2008,Male,5003,655,"2,192.0",2251,560
MANHATTAN,8,2009,Female,4676,670,"1,244.0",2631,801
MANHATTAN,8,2009,Male,4728,666,"1,434.0",2650,644
MANHATTAN,8,2010,Female,4522,676,"2,204.0",1446,872
MANHATTAN,8,2010,Male,4801,671,"2,589.0",1430,782
MANHATTAN,8,2011,Female,4416,678,"1,845.0",1638,933
MANHATTAN,8,2011,Male,4643,674,"2,175.0",1617,851
MANHATTAN,8,2012,Female,4426,680,"1,788.0",1691,947
MANHATTAN,8,2012,Male,4425,677,"1,980.0",1582,863
MANHATTAN,All Grades,2006,Female,29672,656,"12,818.0",12434,4420
MANHATTAN,All Grades,2006,Male,30348,655,"13,464.0",12488,4396
MANHATTAN,All Grades,2007,Female,28266,665,"9,934.0",12995,5337
MANHATTAN,All Grades,2007,Male,29300,662,"10,999.0",13137,5164
MANHATTAN,All Grades,2008,Female,27194,673,"6,815.0",14364,6015
MANHATTAN,All Grades,2008,Male,28173,670,"7,990.0",14306,5877
MANHATTAN,All Grades,2009,Female,26521,682,"4,486.0",14601,7434
MANHATTAN,All Grades,2009,Male,27593,679,"5,428.0",14925,7240
MANHATTAN,All Grades,2010,Female,26253,682,"11,364.0",8266,6623
MANHATTAN,All Grades,2010,Male,27353,680,"12,431.0",8491,6431
MANHATTAN,All Grades,2011,Female,25941,684,"10,000.0",9306,6635
MANHATTAN,All Grades,2011,Male,26889,682,"11,199.0",9030,6660
MANHATTAN,All Grades,2012,Female,25836,686,"9,474.0",9189,7173
MANHATTAN,All Grades,2012,Male,26827,684,"10,578.0",9093,7156
QUEENS,3,2006,Female,9314,684,"1,542.0",4703,3069
QUEENS,3,2006,Male,9850,684,"1,663.0",5016,3171
QUEENS,3,2007,Female,9404,692,"1,145.0",4665,3594
QUEENS,3,2007,Male,9917,690,"1,264.0",5050,3603
QUEENS,3,2008,Female,9331,692,728.0,5828,2775
QUEENS,3,2008,Male,9824,691,964.0,5968,2892
QUEENS,3,2009,Female,9701,696,564.0,6045,3092
QUEENS,3,2009,Male,10337,694,686.0,6640,3011
QUEENS,3,2010,Female,9752,696,"3,829.0",3236,2687
QUEENS,3,2010,Male,10331,695,"3,998.0",3605,2728
QUEENS,3,2011,Female,10152,688,"3,987.0",4686,1479
QUEENS,3,2011,Male,10580,688,"3,946.0",4981,1653
QUEENS,3,2012,Female,10240,691,"3,519.0",5084,1637
QUEENS,3,2012,Male,10699,690,"3,792.0",5184,1723
QUEENS,4,2006,Female,9515,679,"2,029.0",4816,2670
QUEENS,4,2006,Male,9744,680,"1,947.0",4876,2921
QUEENS,4,2007,Female,9256,684,"1,709.0",4700,2847
QUEENS,4,2007,Male,9812,685,"1,809.0",4777,3226
QUEENS,4,2008,Female,9359,686,"1,373.0",4943,3043
QUEENS,4,2008,Male,9915,687,"1,526.0",4982,3407
QUEENS,4,2009,Female,9325,696,968.0,4527,3830
QUEENS,4,2009,Male,9869,695,"1,085.0",4695,4089
QUEENS,4,2010,Female,9838,690,"3,462.0",3471,2905
QUEENS,4,2010,Male,10555,691,"3,553.0",3756,3246
QUEENS,4,2011,Female,9894,693,"2,897.0",3841,3156
QUEENS,4,2011,Male,10340,692,"3,110.0",3949,3281
QUEENS,4,2012,Female,10043,695,"2,741.0",3789,3513
QUEENS,4,2012,Male,10493,695,"2,891.0",3802,3800
QUEENS,5,2006,Female,9796,671,"2,742.0",4822,2232
QUEENS,5,2006,Male,10135,672,"2,802.0",4805,2528
QUEENS,5,2007,Female,9548,681,"1,853.0",4918,2777
QUEENS,5,2007,Male,9948,680,"1,982.0",4995,2971
QUEENS,5,2008,Female,9322,686,"1,241.0",5005,3076
QUEENS,5,2008,Male,9824,685,"1,472.0",5076,3276
QUEENS,5,2009,Female,9421,691,921.0,4591,3909
QUEENS,5,2009,Male,10019,689,"1,175.0",4729,4115
QUEENS,5,2010,Female,9545,689,"3,065.0",3697,2783
QUEENS,5,2010,Male,10082,689,"3,262.0",3853,2967
QUEENS,5,2011,Female,9928,691,"2,892.0",4140,2896
QUEENS,5,2011,Male,10568,690,"3,171.0",4276,3121
QUEENS,5,2012,Female,9946,695,"2,610.0",3807,3529
QUEENS,5,2012,Male,10414,694,"2,888.0",3878,3648
QUEENS,6,2006,Female,9470,663,"3,276.0",4467,1727
QUEENS,6,2006,Male,9990,662,"3,507.0",4675,1808
QUEENS,6,2007,Female,9505,676,"2,216.0",4786,2503
QUEENS,6,2007,Male,10038,674,"2,527.0",4942,2569
QUEENS,6,2008,Female,9388,681,"1,575.0",4782,3031
QUEENS,6,2008,Male,9811,678,"2,065.0",4752,2994
QUEENS,6,2009,Female,9390,686,"1,269.0",4863,3258
QUEENS,6,2009,Male,9973,682,"1,730.0",5020,3223
QUEENS,6,2010,Female,9631,684,"3,581.0",3010,3040
QUEENS,6,2010,Male,10247,682,"3,986.0",3235,3026
QUEENS,6,2011,Female,9661,686,"3,201.0",3449,3011
QUEENS,6,2011,Male,10213,684,"3,740.0",3450,3023
QUEENS,6,2012,Female,9966,688,"2,985.0",3337,3644
QUEENS,6,2012,Male,10722,686,"3,638.0",3310,3774
QUEENS,7,2006,Female,9680,653,"4,211.0",4236,1233
QUEENS,7,2006,Male,9974,650,"4,651.0",4116,1207
QUEENS,7,2007,Female,9427,667,"2,978.0",4388,2061
QUEENS,7,2007,Male,10164,661,"3,685.0",4596,1883
QUEENS,7,2008,Female,9595,675,"1,969.0",5036,2590
QUEENS,7,2008,Male,10104,673,"2,405.0",5075,2624
QUEENS,7,2009,Female,9486,683,"1,120.0",5250,3116
QUEENS,7,2009,Male,10103,682,"1,407.0",5577,3119
QUEENS,7,2010,Female,9628,680,"3,481.0",2977,3170
QUEENS,7,2010,Male,10241,677,"4,100.0",3073,3068
QUEENS,7,2011,Female,9743,681,"3,428.0",3211,3104
QUEENS,7,2011,Male,10446,679,"3,874.0",3277,3295
QUEENS,7,2012,Female,9680,683,"3,121.0",3169,3390
QUEENS,7,2012,Male,10248,681,"3,611.0",3212,3425
QUEENS,8,2006,Female,9506,651,"4,796.0",3544,1166
QUEENS,8,2006,Male,10073,647,"5,438.0",3577,1058
QUEENS,8,2007,Female,9747,660,"4,120.0",4175,1452
QUEENS,8,2007,Male,10057,656,"4,509.0",4222,1326
QUEENS,8,2008,Female,9444,670,"2,732.0",4788,1924
QUEENS,8,2008,Male,10180,666,"3,305.0",5035,1840
QUEENS,8,2009,Female,9730,678,"1,854.0",5606,2270
QUEENS,8,2009,Male,10328,675,"2,351.0",5867,2110
QUEENS,8,2010,Female,9844,684,"3,925.0",3310,2609
QUEENS,8,2010,Male,10445,679,"4,869.0",3262,2314
QUEENS,8,2011,Female,9766,682,"3,574.0",3850,2342
QUEENS,8,2011,Male,10438,679,"4,184.0",3918,2336
QUEENS,8,2012,Female,9823,684,"3,407.0",3954,2462
QUEENS,8,2012,Male,10511,682,"3,888.0",4203,2420
QUEENS,All Grades,2006,Female,57281,667,"18,596.0",26588,12097
QUEENS,All Grades,2006,Male,59766,666,"20,008.0",27065,12693
QUEENS,All Grades,2007,Female,56887,676,"14,021.0",27632,15234
QUEENS,All Grades,2007,Male,59936,674,"15,776.0",28582,15578
QUEENS,All Grades,2008,Female,56439,682,"9,618.0",30382,16439
QUEENS,All Grades,2008,Male,59658,680,"11,737.0",30888,17033
QUEENS,All Grades,2009,Female,57053,688,"6,696.0",30882,19475
QUEENS,All Grades,2009,Male,60629,686,"8,434.0",32528,19667
QUEENS,All Grades,2010,Female,58238,687,"21,343.0",19701,17194
QUEENS,All Grades,2010,Male,61901,685,"23,768.0",20784,17349
QUEENS,All Grades,2011,Female,59144,687,"19,979.0",23177,15988
QUEENS,All Grades,2011,Male,62585,685,"22,025.0",23851,16709
QUEENS,All Grades,2012,Female,59698,689,"18,383.0",23140,18175
QUEENS,All Grades,2012,Male,63087,688,"20,708.0",23589,18790
STATEN ISLAND,3,2006,Female,2072,684,349.0,1024,699
STATEN ISLAND,3,2006,Male,2233,684,406.0,1067,760
STATEN ISLAND,3,2007,Female,2109,691,258.0,1080,771
STATEN ISLAND,3,2007,Male,2256,689,296.0,1178,782
STATEN ISLAND,3,2008,Female,2074,691,198.0,1276,600
STATEN ISLAND,3,2008,Male,2301,691,235.0,1395,671
STATEN ISLAND,3,2009,Female,2172,696,130.0,1355,687
STATEN ISLAND,3,2009,Male,2347,692,182.0,1516,649
STATEN ISLAND,3,2010,Female,2148,695,798.0,783,567
STATEN ISLAND,3,2010,Male,2268,695,872.0,763,633
STATEN ISLAND,3,2011,Female,2303,688,842.0,1148,313
STATEN ISLAND,3,2011,Male,2418,688,895.0,1199,324
STATEN ISLAND,3,2012,Female,2367,689,853.0,1209,305
STATEN ISLAND,3,2012,Male,2464,689,859.0,1244,361
STATEN ISLAND,4,2006,Female,2119,681,384.0,1136,599
STATEN ISLAND,4,2006,Male,2157,681,412.0,1089,656
STATEN ISLAND,4,2007,Female,2049,681,382.0,1091,576
STATEN ISLAND,4,2007,Male,2265,683,422.0,1142,701
STATEN ISLAND,4,2008,Female,2081,686,283.0,1160,638
STATEN ISLAND,4,2008,Male,2225,686,338.0,1164,723
STATEN ISLAND,4,2009,Female,2092,694,255.0,989,848
STATEN ISLAND,4,2009,Male,2291,694,253.0,1089,949
STATEN ISLAND,4,2010,Female,2172,689,777.0,783,612
STATEN ISLAND,4,2010,Male,2358,688,824.0,873,661
STATEN ISLAND,4,2011,Female,2148,692,599.0,913,636
STATEN ISLAND,4,2011,Male,2277,692,679.0,848,750
STATEN ISLAND,4,2012,Female,2253,694,589.0,927,737
STATEN ISLAND,4,2012,Male,2381,694,658.0,908,815
STATEN ISLAND,5,2006,Female,2147,672,557.0,1085,505
STATEN ISLAND,5,2006,Male,2188,673,543.0,1103,542
STATEN ISLAND,5,2007,Female,2161,681,358.0,1212,591
STATEN ISLAND,5,2007,Male,2228,680,412.0,1188,628
STATEN ISLAND,5,2008,Female,2064,686,257.0,1133,674
STATEN ISLAND,5,2008,Male,2289,686,329.0,1180,780
STATEN ISLAND,5,2009,Female,2103,692,159.0,1062,882
STATEN ISLAND,5,2009,Male,2254,691,223.0,1071,960
STATEN ISLAND,5,2010,Female,2101,689,680.0,831,590
STATEN ISLAND,5,2010,Male,2312,688,728.0,928,656
STATEN ISLAND,5,2011,Female,2194,690,610.0,990,594
STATEN ISLAND,5,2011,Male,2328,690,657.0,1020,651
STATEN ISLAND,5,2012,Female,2131,693,559.0,870,702
STATEN ISLAND,5,2012,Male,2291,693,634.0,892,765
STATEN ISLAND,6,2006,Female,2041,656,820.0,939,282
STATEN ISLAND,6,2006,Male,2190,656,874.0,1010,306
STATEN ISLAND,6,2007,Female,2005,666,600.0,1065,340
STATEN ISLAND,6,2007,Male,2128,665,672.0,1083,373
STATEN ISLAND,6,2008,Female,2097,676,417.0,1114,566
STATEN ISLAND,6,2008,Male,2130,673,509.0,1060,561
STATEN ISLAND,6,2009,Female,2002,681,337.0,1100,565
STATEN ISLAND,6,2009,Male,2258,678,455.0,1134,669
STATEN ISLAND,6,2010,Female,2038,681,800.0,690,548
STATEN ISLAND,6,2010,Male,2207,678,914.0,714,579
STATEN ISLAND,6,2011,Female,1982,684,701.0,747,534
STATEN ISLAND,6,2011,Male,2243,682,871.0,736,636
STATEN ISLAND,6,2012,Female,2082,684,684.0,689,709
STATEN ISLAND,6,2012,Male,2220,682,791.0,738,691
STATEN ISLAND,7,2006,Female,2086,652,921.0,948,217
STATEN ISLAND,7,2006,Male,2176,650,968.0,983,225
STATEN ISLAND,7,2007,Female,2070,663,708.0,989,373
STATEN ISLAND,7,2007,Male,2230,660,835.0,996,399
STATEN ISLAND,7,2008,Female,2068,673,459.0,1102,507
STATEN ISLAND,7,2008,Male,2185,671,539.0,1110,536
STATEN ISLAND,7,2009,Female,2142,679,287.0,1249,606
STATEN ISLAND,7,2009,Male,2195,676,342.0,1295,558
STATEN ISLAND,7,2010,Female,2009,677,787.0,650,572
STATEN ISLAND,7,2010,Male,2251,674,930.0,726,595
STATEN ISLAND,7,2011,Female,2054,680,685.0,735,634
STATEN ISLAND,7,2011,Male,2221,678,808.0,723,690
STATEN ISLAND,7,2012,Female,1954,679,669.0,668,617
STATEN ISLAND,7,2012,Male,2203,679,780.0,719,704
STATEN ISLAND,8,2006,Female,2095,649,"1,068.0",836,191
STATEN ISLAND,8,2006,Male,2377,647,"1,235.0",959,183
STATEN ISLAND,8,2007,Female,2122,655,952.0,913,257
STATEN ISLAND,8,2007,Male,2258,652,"1,059.0",985,214
STATEN ISLAND,8,2008,Female,2047,667,665.0,1018,364
STATEN ISLAND,8,2008,Male,2253,663,801.0,1108,344
STATEN ISLAND,8,2009,Female,2092,674,471.0,1237,384
STATEN ISLAND,8,2009,Male,2213,670,586.0,1267,360
STATEN ISLAND,8,2010,Female,2195,679,990.0,715,490
STATEN ISLAND,8,2010,Male,2217,673,"1,144.0",707,366
STATEN ISLAND,8,2011,Female,2063,678,826.0,887,350
STATEN ISLAND,8,2011,Male,2289,674,"1,019.0",923,347
STATEN ISLAND,8,2012,Female,2048,679,821.0,844,383
STATEN ISLAND,8,2012,Male,2232,677,955.0,928,349
STATEN ISLAND,All Grades,2006,Female,12560,665,"4,099.0",5968,2493
STATEN ISLAND,All Grades,2006,Male,13321,665,"4,438.0",6211,2672
STATEN ISLAND,All Grades,2007,Female,12516,673,"3,258.0",6350,2908
STATEN ISLAND,All Grades,2007,Male,13365,672,"3,696.0",6572,3097
STATEN ISLAND,All Grades,2008,Female,12431,680,"2,279.0",6803,3349
STATEN ISLAND,All Grades,2008,Male,13383,678,"2,751.0",7017,3615
STATEN ISLAND,All Grades,2009,Female,12603,686,"1,639.0",6992,3972
STATEN ISLAND,All Grades,2009,Male,13558,684,"2,041.0",7372,4145
STATEN ISLAND,All Grades,2010,Female,12663,685,"4,832.0",4452,3379
STATEN ISLAND,All Grades,2010,Male,13613,683,"5,412.0",4711,3490
STATEN ISLAND,All Grades,2011,Female,12744,685,"4,263.0",5420,3061
STATEN ISLAND,All Grades,2011,Male,13776,684,"4,929.0",5449,3398
STATEN ISLAND,All Grades,2012,Female,12835,687,"4,175.0",5207,3453
STATEN ISLAND,All Grades,2012,Male,13791,686,"4,677.0",5429,3685